,Tournament,White_Name,White_Age,White_Rating,White_Title,Black_Name,Black_Age,Black_Rating,Black_Title,Result_White,White_Age_Squared,White_Rating_Squared,White_Age_Rating_CP,Black_Age_Squared,Black_Rating_Squared,Black_Age_Rating_CP
109,TSC_24,"Roebers, Eline",2.769230769,3.81000001,IM,"Korobov, Anton",6,6.63000001,GM,0,7.668639053,14.51610008,10.55076926,36,43.95690013,39.78000006
110,TSC_24,"Maurizzi, Marc`andria",2.615384615,5.71999999,GM,"Beukema, Stefan",4.307692308,4.27999999,IM,1,6.840236686,32.71839989,14.95999997,18.55621302,18.31839991,18.43692303
111,TSC_24,"Dardha, Daniel",2.923076923,6.01999999,GM,"Mendonca, Leon Luke",2.769230769,6.07999999,GM,0.5,8.544378698,36.24039988,17.59692305,7.668639053,36.96639988,16.83692305
112,TSC_24,"L'ami, Erwin",6,6.27000001,GM,"Dronavalli, Harika",5.076923077,4.99999999,GM,1,36,39.31290013,37.62000006,25.77514793,24.9999999,25.38461533
113,TSC_24,"Vrolijk, Liam",3.384615385,5.73000001,GM,"Dronavalli, Harika",5.076923077,4.99999999,GM,0.5,11.4556213,32.83290011,19.39384619,25.77514793,24.9999999,25.38461533
114,TSC_24,"Mendonca, Leon Luke",2.769230769,6.07999999,GM,"L'ami, Erwin",6,6.27000001,GM,0,7.668639053,36.96639988,16.83692305,36,39.31290013,37.62000006
115,TSC_24,"Beukema, Stefan",4.307692308,4.27999999,IM,"Dardha, Daniel",2.923076923,6.01999999,GM,0.5,18.55621302,18.31839991,18.43692303,8.544378698,36.24039988,17.59692305
116,TSC_24,"Korobov, Anton",6,6.63000001,GM,"Maurizzi, Marc`andria",2.615384615,5.71999999,GM,1,36,43.95690013,39.78000006,6.840236686,32.71839989,14.95999997
117,TSC_24,"Santos Latasa, Jaime",4.307692308,6.15000001,GM,"Roebers, Eline",2.769230769,3.81000001,IM,1,18.55621302,37.82250012,26.49230774,7.668639053,14.51610008,10.55076926
118,TSC_24,"Niemann, Hans Moke",3.230769231,6.91999999,GM,"Divya, Deshmukh",2.923076923,4.20000001,IM,1,10.43786982,47.88639986,22.35692304,8.544378698,17.64000008,12.27692311
119,TSC_24,"Yilmaz, Mustafa",4.923076923,6.64999999,GM,"Salem, A.R. Saleh",4.769230769,6.30000001,GM,1,24.23668639,44.22249987,32.73846149,22.74556213,39.69000013,30.04615389
120,TSC_24,"Salem, A.R. Saleh",4.769230769,6.30000001,GM,"Vrolijk, Liam",3.384615385,5.73000001,GM,1,22.74556213,39.69000013,30.04615389,11.4556213,32.83290011,19.39384619
121,TSC_24,"Divya, Deshmukh",2.923076923,4.20000001,IM,"Yilmaz, Mustafa",4.923076923,6.64999999,GM,0,8.544378698,17.64000008,12.27692311,24.23668639,44.22249987,32.73846149
122,TSC_24,"Roebers, Eline",2.769230769,3.81000001,IM,"Niemann, Hans Moke",3.230769231,6.91999999,GM,1,7.668639053,14.51610008,10.55076926,10.43786982,47.88639986,22.35692304
123,TSC_24,"Maurizzi, Marc`andria",2.615384615,5.71999999,GM,"Santos Latasa, Jaime",4.307692308,6.15000001,GM,1,6.840236686,32.71839989,14.95999997,18.55621302,37.82250012,26.49230774
